"tbl","idx","stat"
"tracks","IFK_TrackMediaTypeId","3503 701"
"tracks","IFK_TrackGenreId","3503 141"
"tracks","IFK_TrackAlbumId","3503 11"
"playlist_track","IFK_PlaylistTrackTrackId","8715 3"
"playlist_track","sqlite_autoindex_playlist_track_1","8715 623 1"
"albums","IFK_AlbumArtistId","347 2"
"artists","unknown_value_please_contact_support","275"
"customers","IFK_CustomerSupportRepId","59 20"
"playlists","unknown_value_please_contact_support","18"
"employees","IFK_EmployeeReportsTo","8 2"
"genres","unknown_value_please_contact_support","25"
"invoices","IFK_InvoiceCustomerId","412 7"
"media_types","unknown_value_please_contact_support","5"
"invoice_items","IFK_InvoiceLineTrackId","2240 2"
"invoice_items","IFK_InvoiceLineInvoiceId","2240 6"
